vehicle_id,vehicle_index,stop_index,order_id,demand_kg,cumulative_load_kg,lat,lon
V001,0,0,depot,0.00,0.00,46.0506713158607,14.459560361232214
V002,1,0,depot,0.00,0.00,46.0506713158607,14.459560361232214
V003,2,0,depot,0.00,0.00,46.0506713158607,14.459560361232214
V004,3,0,depot,0.00,0.00,46.0506713158607,14.459560361232214
V005,4,0,depot,0.00,0.00,46.0506713158607,14.459560361232214
V006,5,0,depot,0.00,0.00,46.0506713158607,14.459560361232214
V007,6,0,depot,0.00,0.00,46.0506713158607,14.459560361232214
V008,7,0,depot,0.00,0.00,46.0506713158607,14.459560361232214
V009,8,0,depot,0.00,0.00,46.0506713158607,14.459560361232214
V010,9,0,depot,0.00,0.00,46.0506713158607,14.459560361232214
V011,10,0,depot,0.00,0.00,46.0506713158607,14.459560361232214
V012,11,0,depot,0.00,0.00,46.0506713158607,14.459560361232214
V013,12,0,depot,0.00,0.00,46.0506713158607,14.459560361232214
V014,13,0,depot,0.00,0.00,46.0506713158607,14.459560361232214
V015,14,0,depot,0.00,0.00,46.0506713158607,14.459560361232214
V016,15,0,depot,0.00,0.00,46.0506713158607,14.459560361232214
V017,16,0,depot,0.00,0.00,46.0506713158607,14.459560361232214
V018,17,0,depot,0.00,0.00,46.0506713158607,14.459560361232214
V019,18,0,depot,0.00,0.00,46.0506713158607,14.459560361232214
V020,19,0,depot,0.00,0.00,46.0506713158607,14.459560361232214
